,fraction or g/ml ,"V/V, W/V, Dry (undiluted or 100%)",,,M/F,(in days)(average value in case range is reported),(in hours)(average in case range is reported),,,(original)(spikes/second),(sfr subtracted or not),(response of solvent or control subtracted in case sfr not subtracted or reported),
odor,concentration,concentration_type,solvent,specie,gender,age,starvation,or,reference,response_original,sfr_status,response,remarks
ammonia,0.01,V/V,water,AGam,F,5,NA,AgOr1,Carey2010,-1,yes,-1,
putrescine,0.01,W/V,water,AGam,F,5,NA,AgOr1,Carey2010,-7,yes,-7,
cadaverine,0.01,V/V,water,AGam,F,5,NA,AgOr1,Carey2010,-6,yes,-6,
g-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,2,yes,2,
d-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,2,yes,2,
Acetic Acid,0.01,V/V,water,AGam,F,5,NA,AgOr1,Carey2010,-4,yes,-4,
propanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr1,Carey2010,-6,yes,-6,
butanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr1,Carey2010,-6,yes,-6,
pentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-2,yes,-2,
Hexanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-7,yes,-7,
heptanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,1,yes,1,
octanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-8,yes,-8,
nonanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-5,yes,-5,
decanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,0,yes,0,
dodecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-1,yes,-1,
tridecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-5,yes,-5,
Myristic Acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,6,yes,6,
hexadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr1,Carey2010,2,yes,2,
octadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr1,Carey2010,5,yes,5,
L-(+)-Lactic acid,0.01,V/V,water,AGam,F,5,NA,AgOr1,Carey2010,-13,yes,-13,
2-oxopropanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-8,yes,-8,
isobutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr1,Carey2010,-9,yes,-9,
2-oxobutanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-16,yes,-16,
3-Methylbutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr1,Carey2010,-1,yes,-1,
2-oxopentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-8,yes,-8,
2-oxohexanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr1,Carey2010,2,yes,2,
3-Methyl-2-hexenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-8,yes,-8,
7-octenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-2,yes,-2,
cis-9-octadecenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-3,yes,-3,
dimethyl sulfide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-19,yes,-19,
(-)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-5,yes,-5,
(+)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-2,yes,-2,
(-)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-12,yes,-12,
(+)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-6,yes,-6,
citronellal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-2,yes,-2,
geraniol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,1,yes,1,
Linalool Oxide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-4,yes,-4,
geranyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-10,yes,-10,
hexanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-13,yes,-13,
heptanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-24,yes,-24,
octanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-10,yes,-10,
nonanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,1,yes,1,
decanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-1,yes,-1,
(E)-2-hexenal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-5,yes,-5,
acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-11,yes,-11,
2-butanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-13,yes,-13,
2-heptanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-11,yes,-11,
3-octanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-22,yes,-22,
2-nonanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-22,yes,-22,
6-methyl-5-hepten-2-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-26,yes,-26,
geranyl acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-2,yes,-2,
"2,3-butanedione",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-23,yes,-23,
cyclohexanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-9,yes,-9,
phenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,234,yes,234,
benzaldehyde,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,44,yes,44,
acetophenone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-1,yes,-1,
methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-6,yes,-6,
2-phenoxy ethanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,1,yes,1,
benzyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-7,yes,-7,
phenethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-4,yes,-4,
2-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,91,yes,91,
3-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,177,yes,177,
p-cresol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,178,yes,178,
2-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,10,yes,10,
4-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,145,yes,145,
2-propylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,1,yes,1,
methyl salicylate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-9,yes,-9,
methyl-2-methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-9,yes,-9,
2-ethyl-toluene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-8,yes,-8,
indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-5,yes,-5,
3-methyl indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,1,yes,1,
2-acetylthiophene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,17,yes,17,
thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,6,yes,6,
4-methylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,4,yes,4,
2-acetylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-6,yes,-6,
2-ethoxythiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-8,yes,-8,
2-iso-butyl-thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-6,yes,-6,
"4,5-dimethylthiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-1,yes,-1,
"2,4,5-trimethyl thiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-10,yes,-10,
2-acetylpyridine,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-5,yes,-5,
methanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,2,yes,2,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr1,Carey2010,2,yes,2,
1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,130,yes,130,
1-pentanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,180,yes,180,
Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,12,yes,12,
1-dodecanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,1,yes,1,
3-methyl-1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,140,yes,140,
2-ethyl-Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-6,yes,-6,
1-Hexen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-4,yes,-4,
1-hepten-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,5,yes,5,
1-octen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-23,yes,-23,
Z2-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,130,yes,130,
Z3-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,53,yes,53,
4-methylcyclohexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,186,yes,186,
3-methyl-2-cyclohexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,2,yes,2,
ethyl formate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-9,yes,-9,
ethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-11,yes,-11,
propyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-13,yes,-13,
pentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-22,yes,-22,
isobutyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-12,yes,-12,
isopentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-14,yes,-14,
Ethyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-20,yes,-20,
Methyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-13,yes,-13,
Ethyl butyrate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-17,yes,-17,
ethyl hexanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-6,yes,-6,
methyl octanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-6,yes,-6,
heptane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr1,Carey2010,-2,yes,-2,
