Weight,Word
1,"(+)-2-butanol"
1,"(+)-3-heptanol"
27,"(+)-alpha-pinene"
15,"(+)-beta-pinene"
64,"(+)-carvone"
64,"(+)-ethyl lactate"
66,"(+)-fenchone"
1,"(+)-limonene oxide"
4,"(+)-linalool"
1,"(+)-menthone"
11,"(+)-terpinen-4-ol"
1,"(-) bornyl acetate"
85,"(-)-a-thujone"
8,"(-)-alpha-pinene"
22,"(-)-beta-pinene"
1,"(-)-carveol"
68,"(-)-carvone"
10,"(-)-caryophyllene oxide"
58,"(-)-ethyl lactate"
118,"(-)-fenchone"
24,"(-)-linalool"
24,"(-)-menthone"
1,"(-)-trans-p-menthane-3,8 diol"
1,"(2s)-heptan-2-ol"
1,"(e)-1-(1-azepanyl)-2-methyl-2-penten-1-one"
303,"(e)-2-hexenal"
46,"(e)-2-hexenyl acetate"
1,"(e)-2-methyl-n,n-di-2-propenyl-2-pentenamide"
2,"(e)-3-hexen-1-ol"
3,"(e)-3-methyl-2-hexanoic acid"
14,"(e)-beta-ocimene"
1,"(e)-n,n-di-(2-methylpropyl)-2-hexenamide"
1,"(e)-n-butyl-n-ethyl-2-methyl-2-pentenamide 2 2 1 0.117"
1,"(e)-n-cyclohexyl-n-ethyl-2-hexenamide"
1,"(e)-n-ethyl-2-methyl-n-(2-methyl-2-propenyl)-2-pentenamide"
1,"(e)-n-n-butyl-n-ethyl-2-hexenamide"
3,"(e/z)-3-methyl-2-hexanoic acid"
1,"(r)-(+)-1-decyn-3-ol"
2,"(r)-(+)-citronellal"
1,"(r)-1,(z)-5-octadien-3-ol"
1,"(s)-(-)-1-decyn-3-ol"
12,"(z)-3-hexen-1-ol"
22,"(z)-3-hexenyl acetate"
3,"(z)-3-methyl-2-hexanoic acid"
4,"(z)-7-pentacosene"
4,"(z)-7-tricosene"
4,"(z)-9-tricosene"
4,"(z,z)-7,11-heptacosadiene"
4,"(z,z)-7,11-nonacosadiene"
4,"(z,z)-7,11-octacosadiene"
4,"(z,z)-7,11-pentacosadiene"
1,"1,1-dimethoxyethane"
1,"1,2-propanediol"
1,"1,3-propanedithiol"
1,"1,4-cineole"
2,"1,5-octadien-3-ol"
1,"1-(1-azepanyl)-2,2-dimethyl-1-propanone"
1,"1-(1-azepanyl)-2-methyl-1-pentanone"
162,"1-butanol"
58,"1-chlorododecane"
8,"1-chloroheptane"
8,"1-chlorohexadecane"
73,"1-chlorohexane"
8,"1-chlorotetradecane"
8,"1-decanol"
144,"1-dodecanol"
62,"1-heptanol"
170,"1-hepten-3-ol"
8,"1-hexadecene"
176,"1-hexen-3-ol"
3,"1-methylindole"
8,"1-methylpiperazine"
58,"1-nonanol"
5,"1-nonen-3-ol"
600,"1-octen-3-ol"
5,"1-octen-3-one"
1,"1-octen-3-yl butyrate"
6,"1-octen-4-ol"
88,"1-pentanol"
26,"1-penten-3-ol"
16,"1-phenyl-2-nitropropene"
33,"1-propanol"
8,"1-tetradecanol"
8,"1-tetradecene"
8,"1-undecanol"
39,"1s-(+)-3-carene"
21,"2,3,5,6-tetramethylpyrazine"
23,"2,3,5-trimethyl pyrazine"
29,"2,3-butanediol"
262,"2,3-butanedione"
21,"2,3-diethylpyrazine"
2,"2,3-dimethyl -2-cyclopenten-1-one"
16,"2,3-dimethyl-2,3-dinitrobutane"
22,"2,3-dimethylpyrazine"
1,"2,3-docosanediol"
129,"2,4,5-trimethyl thiazole"
1,"2,4,5-trimethylthiazole"
16,"2,4,6-trinitrotoulene"
8,"2,4-dimethyl hexane"
8,"2,4-dimethylacetophenone"
65,"2,4-dimethylthiazole"
23,"2,5-dimethylpyrazine"
29,"2,6-dimethylpyrazine"
21,"2-acetyl-3,5(or 6)-dimethylpyrazine"
21,"2-acetyl-3-ethylpyrazine"
21,"2-acetyl-3-methylpyrazine"
21,"2-acetylpyrazine"
139,"2-acetylpyridine"
131,"2-acetylthiazole"
139,"2-acetylthiophene"
1,"2-butanol"
86,"2-butanone"
157,"2-butoxyethanol"
21,"2-chloropyrazine"
8,"2-decanol"
15,"2-decanone"
6,"2-dodecanone"
118,"2-ethoxythiazole"
2,"2-ethyl -3,5 (or 6)-dimethylpyrazine"
21,"2-ethyl-3,5(or 6)-dimethylpyrazine"
21,"2-ethyl-3-methoxypyrazine"
21,"2-ethyl-3-methylpyrazine"
21,"2-ethyl-5(6)-methylpyrazine"
100,"2-ethyl-hexanol"
125,"2-ethyl-toluene"
26,"2-ethylhexanoic acid"
129,"2-ethylphenol"
52,"2-ethylpyrazine"
283,"2-heptanone"
8,"2-hexadecanol"
3,"2-hexanol"
9,"2-hexanone"
8,"2-hydroxyacetophenone"
1,"2-hydroxypentanoic acid"
124,"2-iso-butyl-thiazole"
33,"2-isobutyl-3-methoxypyrazine"
21,"2-isobutyl-3-methylpyrazine"
1,"2-isobutylthiazole"
1,"2-mercaptoethanol"
